board_nr,board_flipped,wins_player1,wins_player2,draws,winrate_p1
2,False,14,16,0,0.4666666666666667
2,True,11,19,0,0.36666666666666664
3,False,29,1,0,0.9666666666666667
3,True,0,30,0,0.0
4,False,0,30,0,0.0
4,True,0,30,0,0.0
5,False,0,30,0,0.0
5,True,5,25,0,0.16666666666666666
6,False,6,24,0,0.2
6,True,0,30,0,0.0
7,False,0,30,0,0.0
7,True,0,30,0,0.0
8,False,0,30,0,0.0
8,True,0,30,0,0.0
9,False,10,17,3,0.3333333333333333
9,True,22,7,1,0.7333333333333333
10,False,0,30,0,0.0
10,True,25,5,0,0.8333333333333334
